ID,Вопрос,Ответ системы,Источник,Уверенность,Время запроса,Время оценки
149,Сколько баллов не может превышать общий балл за общие индивидуальные достижения (публикации и рекомендацию научного руководителя)?,"Точный ответ не найден. Возможно, вас интересует: тного заземления электрооборудования, брони кабелей, рамы конвейера;
9) наличие и надежность ограждений приводных, натяжных и концевых барабанов....",Trebovaniya ohrani truda 13.docx,0.0,2026-05-24 15:24:15,2026-05-24 15:24:18
148,Каким количеством ограничено максимальное количество баллов за публикации?,5. 19.,Pravila priema VO.txt,0.999814510345459,2026-05-24 15:23:13,2026-05-24 15:23:16
147,Сколько баллов начисляются за патент на изобретение?,"Точный ответ не найден. Возможно, вас интересует: ов вручную одновременная работа на штабеле более двух работников запрещается....",Trebovaniya ohrani truda pri pogruzochno_razgruzochnih rabotah 7.docx,0.0,2026-05-24 15:05:27,2026-05-24 15:05:31
147,Сколько баллов начисляются за патент на изобретение?,"Точный ответ не найден. Возможно, вас интересует: ов вручную одновременная работа на штабеле более двух работников запрещается....",Trebovaniya ohrani truda pri pogruzochno_razgruzochnih rabotah 7.docx,0.0,2026-05-24 15:05:27,2026-05-24 15:13:08
146,"Сколько баллов начисляются за тезисы докладов на конференциях, опубликованных в издании, индексируемом в РИНЦ?",85.,Trebovaniya ohrani truda pri pogruzochno_razgruzochnih rabotah 5.docx,0.9825906157493591,2026-05-24 15:04:37,2026-05-24 15:04:41
144,"Сколько баллов зачисляются за научную статью, опубликованную в в рецензируемом журнале, индексируемом в РИНЦ?",Университет до дня начала приема заявлений о приеме с указанием страхового номера индивидуального лицевого счета за подписью уполномоченного должностного лица на бумажном носителе или в электронном виде.,Pravila priema v aspitanturu.txt,0.9059125781059265,2026-05-24 14:47:29,2026-05-24 14:47:47
143,"Сколько баллов зачисляются за научную статью, опубликованную в рецензируемом издании, индексируемом в международных базах данных Scopus и (или) Web of Science (квартиль Q1- Q2)?","3 балла;
тезисы докладов на конференциях, опубликованных в издании, индексируемом в РИНЦ – 2 балла;
диплом победителя Всероссийского инженерного конкурса – 3 балла;
диплом призера или лауреата Всероссийского инженерного конкурса – 2 балла;
3.",Pravila priema v aspitanturu.txt,0.6716846823692322,2026-05-24 14:39:37,2026-05-24 14:39:52
142,На каком языке проводятся вступительные испытания?,46.,Pravila priema v aspitanturu.txt,0.8871825337409973,2026-05-24 14:27:23,2026-05-24 14:27:26
141,При каком условии результаты вступительных испытаний действительны?,"Точный ответ не найден. Возможно, вас интересует:  вступительных испытаний, помимо вступительных испытаний по конкурсным группам, которые ранее были указаны в заявлении о приеме)....",Pravila priema VO.txt,0.0,2026-05-24 14:26:23,2026-05-24 14:26:25
140,Какие вступительные испытания сдают поступающие (по всем научным специальностям)?,"по программам магистратуры — поступающие, которые имеют не менее минимального количества баллов за вступительные испытания.",Pravila priema VO.txt,0.33516600728034973,2026-05-24 14:19:10,2026-05-24 14:19:30
139,"Какие одинаковые параметры устанавливает Университет для конкурсов, имеющих одинаковый конкурсный профиль?",.,Centr testirovaniya inostrannih grajdan.txt,0.42639341950416565,2026-05-24 14:17:24,2026-05-24 14:17:26
138,Что делает Университет в случае если по научным специальностям отсутствуют места в рамках контрольных цифр приема?,"Стать студентом целевого обучения можно не только на бакалавриате, но и на программах специалитета, магистратуры, аспирантуры.",Celevoe obuchenie.txt,0.7092324495315552,2026-05-24 14:16:04,2026-05-24 14:16:07
137,Что делает Университет в рамках подготовки к проведению и проведения приема на обучение?,"Переход с платного обучения на обучение за счет средств бюджетных 
ассигнований оформляется приказом ректора Университета не позднее 10 календарных 
дней с дат ы принятия Комиссией решения о таком переходе.",Polozhenie_2024.pdf,0.9470807909965515,2026-05-24 13:56:18,2026-05-24 13:56:37
136,Какие лица допускаются к освоению программ аспирантуры?,"поступающие, которые имеют не менее минимального количества баллов за вступительные испытания.",Pravila priema v aspitanturu.txt,0.9732056856155396,2026-05-24 13:44:55,2026-05-24 13:55:20
135,Какое первое правило приема в аспирантуру?,Распечатать этот файл можно после ввода пароля с помощью панели управления.,Sohranenie faila blokirovannoi pechati.txt,0.1673801988363266,2026-05-24 13:42:37,2026-05-24 13:42:39
134,"Какой четвертый шаг нужно сделать, чтобы создать поток для обучения слушателей в КИАС «Универис»?",Представление оригинала или копии (электронного образа) такого документа при подаче заявления о приеме не требуется.,Pravila priema VO.txt,0.4273471236228943,2026-05-24 13:41:14,2026-05-24 13:41:17
133,"Какой третий шаг нужно сделать, чтобы создать поток для обучения слушателей в КИАС «Универис»?","Переход с платного обучения на обучение за счет средств бюджетных 
ассигнований оформляется приказом ректора Университета не позднее 10 календарных 
дней с дат ы принятия Комиссией решения о таком переходе.",Polozhenie_2024.pdf,0.9716159105300903,2026-05-24 13:38:21,2026-05-24 13:38:24
132,Где смотреть инструкцию для подключения глобальной группы к курсу?,.,Pravila priema VO.txt,0.16907918453216553,2026-05-24 13:37:45,2026-05-24 13:37:48
131,"Какой первый шаг нужно сделать, чтобы создать поток для обучения слушателей в КИАС «Универис»?","Переход с платного обучения на обучение за счет средств бюджетных 
ассигнований оформляется приказом ректора Университета не позднее 10 календарных 
дней с дат ы принятия Комиссией решения о таком переходе.",Polozhenie_2024.pdf,0.9879186153411865,2026-05-24 13:32:45,2026-05-24 13:32:47
130,Что автоматически создается при создании потока в Универисе?,Организация самостоятельно устанавливает порядок учета указанного сертификата.,Pravila priema VO.txt,0.6183048486709595,2026-05-24 13:30:38,2026-05-24 13:30:46
129,Какие документы обучающийся прилагает к заявлению?,"знак об оказании вам помощи, открыв окно так, чтобы вас заметили.",Meri pojarnoi bezopasnosti.pdf,0.13998273015022278,2026-05-24 08:55:46,2026-05-24 08:55:50
128,Кто возглавляет Комиссию?,.,Pravila priema VO.txt,0.13652268052101135,2026-05-24 08:54:22,2026-05-24 08:54:24
127,"Что представляет участник специальной военной операции, желающий перейти на вакантное бюджетное место?","Предельное количество организаций, в которые поступающий вправе одновременно поступать на обучение по программам бакалавриата и программам специалитета, составляет 5. 19.",Pravila priema VO.txt,0.7066041231155396,2026-05-24 08:53:10,2026-05-24 08:53:20
126,Какое решение принимает Комиссия в отношении оставшихся заявлений при заполнении имеющихся вакантных мест?,"Переход с платного обучения на обучение за счет средств бюджетных 
ассигнований оформляется приказом ректора Университета не позднее 10 календарных 
дней с дат ы принятия Комиссией решения о таком переходе.",Polozhenie_2024.pdf,0.5281550884246826,2026-05-24 08:50:51,2026-05-24 08:51:14
122,Как определяется количество вакантных бюджетных мест?,46.,Pravila priema v aspitanturu.txt,0.6293759346008301,2026-05-24 08:37:57,2026-05-24 08:38:00
121,Что нужно делать в случае пожара вне моей комнаты в общежитии?,"подойдите к окну и подайте 
знак об оказании вам помощи, открыв окно так, чтобы вас заметили.",Meri pojarnoi bezopasnosti.pdf,0.6612104773521423,2026-05-24 08:34:04,2026-05-24 08:34:50
120,Что нужно делать в случае пожара в моей комнате в общежитии?,"I. Общие положения

1.",Trebovaniya ohrani truda 1.docx,0.13592329621315002,2026-05-24 08:33:25,2026-05-24 08:33:28
119,С помощью чего запрещено проводить уборку помещений и стирку одежды в общежитии?,"пожарных подойдите к окну и подайте 
знак об оказании вам помощи, открыв окно так, чтобы вас заметили.",Meri pojarnoi bezopasnosti.pdf,0.36130115389823914,2026-05-24 08:32:23,2026-05-24 08:32:46
118,Без согласования с кем запрещено проводить ремонт жилых комнат в общежитии?,Запрещается загромождать проезды в производственных помещениях.,Trebovaniya ohrani truda 3.docx,0.7759642004966736,2026-05-24 08:28:21,2026-05-24 08:28:27
117,Что запрещено носить и хранить в общежитиях?,Запрещается загромождать проезды в производственных помещениях.,Trebovaniya ohrani truda 3.docx,0.708511233329773,2026-05-24 08:10:36,2026-05-24 08:10:39
116,Что в общежитии запрещается делать с электролампами и светильниками?,оставлять бревна на цепях конвейера (элеватора) запрещается.,Trebovaniya ohrani truda pri pogruzochno_razgruzochnih rabotah 5.docx,0.9473790526390076,2026-05-24 08:09:18,2026-05-24 08:09:29
115,Какие правила пожарной безопасности обязан выполнять проживающий в общежитии?,оставлять бревна на цепях конвейера (элеватора) запрещается.,Trebovaniya ohrani truda pri pogruzochno_razgruzochnih rabotah 5.docx,0.7207040190696716,2026-05-24 08:06:56,2026-05-24 08:07:16
114,Что нужно сделать после нажатия на вкладку [Настр.разм.бумаги]?,"Стать студентом целевого обучения можно не только на бакалавриате, но и на программах специалитета, магистратуры, аспирантуры.",Celevoe obuchenie.txt,0.7107739448547363,2026-05-24 08:04:09,2026-05-24 08:04:13
113,"Какую вкладку нужно открыть, чтобы использовать принтер для ноутбука?",56.,Trebovaniya ohrani truda pri pogruzochno_razgruzochnih rabotah 5.docx,0.47648510336875916,2026-05-24 07:51:13,2026-05-24 07:51:15
112,Как настроить параметры дополнительного оборудования и параметров бумаги принтера?,Регулировка тормозов должна производиться при заглушенном двигателе после принятия мер против самопроизвольного движения транспортного средства.,Trebovaniya ohrani truda 22.docx,0.4633803069591522,2026-05-24 07:38:40,2026-05-24 07:38:49
111,При каком условии сертификат о прохождении государственного тестирования по русскому языку может быть выдан третьему лицу?,"Точный ответ не найден. Возможно, вас интересует: льной направленности, утверждаемый Министерством науки и высшего образования Российской Федерации....",Pravila priema VO.txt,0.0,2026-05-24 06:13:17,2026-05-24 06:13:20
110,"Что запрещается делать во время экзамена по русскому языку, истории России и основам законодательства РФ?",нахождение работников в зоне опрокидывания бункера.,Trebovaniya ohrani truda pri pogruzochno_razgruzochnih rabotah 5.docx,0.6851832866668701,2026-05-24 06:09:11,2026-05-24 06:09:13
109,"Что необходимо принести на экзамен по русскому языку, истории России и основам законодательства РФ?",уникальные идентификационные номера. 87.,Pravila priema v aspitanturu.txt,0.6593068242073059,2026-05-24 06:08:13,2026-05-24 06:08:17
108,"Какова стоимость прохождения тестирования по русскому языку, истории России и основам законодательства РФ для получения вида на жительство или разрешения на временное проживание?","не позднее 10 календарных 
дней с дат ы принятия Комиссией решения о таком переходе.",Polozhenie_2024.pdf,0.2723636031150818,2026-05-24 06:06:18,2026-05-24 06:06:24
106,"Где проводится запись на экзамен и сам экзамен по русскому языку, истории России и основам законодательства РФ?","Точный ответ не найден. Возможно, вас интересует: заявление, сведениях о результатах вступительных испытаний, конкурсных списках, сведениях о зачислении);
зачисление оформляется отдельным приказом (приказами)....",Pravila priema v aspitanturu.txt,0.0,2026-05-24 06:02:22,2026-05-24 06:02:27
105,Что нужно делать для управления биометрией на портале Госуслуг?,"Точный ответ не найден. Возможно, вас интересует: а специальные устройства, строповочные узлы или обозначенные на грузе места в зависимости от положения его центра тяжести....",Trebovaniya ohrani truda pri pogruzochno_razgruzochnih rabotah 5.docx,0.0,2026-05-24 05:54:49,2026-05-24 05:54:52
104,На каком портале можно управлять своей биометрией?,Распечатать этот файл можно после ввода пароля с помощью панели управления.,Sohranenie faila blokirovannoi pechati.txt,0.8629670739173889,2026-05-24 05:51:07,2026-05-24 05:51:09
103,По чьей инициативе создана Единая биометрическая система?,Организация самостоятельно устанавливает порядок учета указанного сертификата.,Pravila priema VO.txt,0.8999540209770203,2026-05-24 05:50:12,2026-05-24 05:50:41
102,Что такое Единая биометрическая система?,"батарея извлекается, а новая устанавливается в разъем до 
щелчка. После этого корпус закрывается, и устройство можно включать.",Zamena accumulyatora v noutbuke.pdf,0.10514596104621887,2026-05-24 05:49:44,2026-05-24 05:49:46
101,Нужно ли быть клиентом банка для регистрации подтвержденной биометрии?,Университет до дня начала приема заявлений о приеме с указанием страхового номера индивидуального лицевого счета за подписью уполномоченного должностного лица на бумажном носителе или в электронном виде.,Pravila priema v aspitanturu.txt,0.47808805108070374,2026-05-24 05:48:10,2026-05-24 05:48:13
100,Как зарегистрировать подтвержденную биометрию?,85.,Trebovaniya ohrani truda pri pogruzochno_razgruzochnih rabotah 5.docx,0.28162822127342224,2026-05-24 05:29:44,2026-05-24 05:29:47
99,Как зарегистрировать стандартную биометрию?,"новая устанавливается в разъем до 
щелчка.",Zamena accumulyatora v noutbuke.pdf,0.1204979419708252,2026-05-24 05:28:55,2026-05-24 05:29:00
84,Как калибровать весы ВС-200?,"8-351-267-94-52
8-800-300-00-55
prkom@susu.ru",Celevoe obuchenie.txt,0.10238580405712128,2026-05-23 07:51:48,2026-05-23 07:52:23
82,Какие обязательства со стороны образовательной организации устанавливает договор о целевом обучении?,"Точный ответ не найден. Возможно, вас интересует: Ответственный за целевой набор в ЮУрГУ: начальник управления профессиональной ориентации и организации приема Иван Иванович Сухих. 8-351-267-94-52
8-800-300-00-55
prkom@susu.ru...",Celevoe obuchenie.txt,0.0,2026-05-23 06:40:27,2026-05-23 06:40:28
81,Какие обязательства со стороны заказчика устанавливает договор о целевом обучении?,"Точный ответ не найден. Возможно, вас интересует: Ответственный за целевой набор в ЮУрГУ: начальник управления профессиональной ориентации и организации приема Иван Иванович Сухих. 8-351-267-94-52
8-800-300-00-55
prkom@susu.ru...",Celevoe obuchenie.txt,0.0,2026-05-23 06:40:11,2026-05-23 06:40:13
80,Какие обязательства со стороны гражданина устанавливает договор о целевом обучении?,"Точный ответ не найден. Возможно, вас интересует: Ответственный за целевой набор в ЮУрГУ: начальник управления профессиональной ориентации и организации приема Иван Иванович Сухих. 8-351-267-94-52
8-800-300-00-55
prkom@susu.ru...",Celevoe obuchenie.txt,0.0,2026-05-23 06:39:54,2026-05-23 06:39:57
79,С кем заключается договор о целевом обучении?,в сфере занятости и трудовых отношений «Работа в России».,Celevoe obuchenie.txt,0.263803094625473,2026-05-23 06:38:30,2026-05-23 06:38:33
78,Как подать заявку в Приемную комиссию Юургу одновременно с заявлением о приеме на обучение?,"Точный ответ не найден. Возможно, вас интересует: Ответственный за целевой набор в ЮУрГУ: начальник управления профессиональной ориентации и организации приема Иван Иванович Сухих. 8-351-267-94-52
8-800-300-00-55
prkom@susu.ru...",Celevoe obuchenie.txt,0.04532356560230255,2026-05-23 06:37:58,2026-05-23 06:38:03
77,"Что должен сделать гражданин, желающий принять участие в конкурсе на целевое обучение?",Стать студентом,Celevoe obuchenie.txt,0.11658526211977005,2026-05-23 05:22:28,2026-05-23 05:23:33
76,Как осуществляется прием на целевое обучение?,"не только на бакалавриате, но и на программах специалитета, магистратуры, аспирантуры.",Celevoe obuchenie.txt,0.12807238101959229,2026-05-23 05:21:27,2026-05-23 05:21:31
74,Кто является организацией-заказчиком?,Иван Иванович Сухих.,Celevoe obuchenie.txt,0.5533575415611267,2026-05-23 05:18:39,2026-05-23 05:18:41
73,Каковы основные преимущества целевого обучения?,начальник управления профессиональной ориентации и организации приема Иван Иванович Сухих,Celevoe obuchenie.txt,0.4046913683414459,2026-05-23 05:18:17,2026-05-23 05:18:19
72,Кто может поступить на целевое обучение?,Иван Иванович Сухих,Celevoe obuchenie.txt,0.44033747911453247,2026-05-23 05:17:51,2026-05-23 05:17:57
71,Какими основными документами регламентируется целевое обучение?,в сфере занятости и трудовых отношений «Работа в России».,Celevoe obuchenie.txt,0.48656710982322693,2026-05-23 05:17:21,2026-05-23 05:17:24
70,Что такое целевое обучение?,начальник управления профессиональной ориентации и организации приема Иван Иванович Сухих,Celevoe obuchenie.txt,0.17501476407051086,2026-05-23 05:16:50,2026-05-23 05:16:58
66,Как настроить датчик температуры?,"убедитесь, что весы установлены на ровной горизонтальной поверхности. Используйте эталонные гири класса F2. Процесс калибровки занимает 5-7 минут. После калибровки проверьте показания на трёх разных точках диапазона.",another_doc.txt,0.9995921850204468,2026-05-22 19:18:34,2026-05-22 19:18:59
63,Какой минимальный балл нужно набрать для поступления на курс обществознания?,40.,Balli po vstupitelnim ispitaniyam.txt,0.973622739315033,2026-05-22 18:14:28,2026-05-22 18:14:30
61,"Какой минимальный балл нужно набрать на вступительных испытаниях, проводимых вузом самостоятельно?",40.,Balli po vstupitelnim ispitaniyam.txt,0.73077791929245,2026-05-22 18:13:11,2026-05-22 18:13:19
59,Какой минимальный балл нужно набрать для поступления на курс информатики?,40.,Balli po vstupitelnim ispitaniyam.txt,0.9740445017814636,2026-05-22 18:12:00,2026-05-22 18:12:13
58,Какой минимальный балл нужно набрать для вступительных испытаний творческой и (или) профессиональной направленности?,20.,Balli po vstupitelnim ispitaniyam.txt,0.7939184308052063,2026-05-22 18:11:38,2026-05-22 18:11:39
54,Какой минимальный балл нужно набрать для поступления на курс русского языка?,20.,Balli po vstupitelnim ispitaniyam.txt,0.22239843010902405,2026-05-22 16:35:48,2026-05-22 16:35:50
53,Какой минимальный балл нужно набрать для поступления на курс обществознания?,20,Balli po vstupitelnim ispitaniyam.txt,0.26481422781944275,2026-05-22 16:35:14,2026-05-22 16:35:16
51,"Какой минимальный балл нужно набрать на вступительных испытаниях, проводимых вузом самостоятельно?",100,Balli po vstupitelnim ispitaniyam.txt,0.6506243944168091,2026-05-22 16:33:53,2026-05-22 16:33:57
50,Какой минимальный балл нужно набрать для поступления на курс химии?,20,Balli po vstupitelnim ispitaniyam.txt,0.11057370901107788,2026-05-22 16:33:12,2026-05-22 16:33:18
48,Какой минимальный балл нужно набрать для поступления на курс информатики?,20,Balli po vstupitelnim ispitaniyam.txt,0.10103019326925278,2026-05-22 16:32:35,2026-05-22 16:32:39
47,Какой минимальный балл нужно набрать для поступления на курс истории?,20.,Balli po vstupitelnim ispitaniyam.txt,0.1219383105635643,2026-05-22 16:32:21,2026-05-22 16:32:26
46,Какой минимальный балл нужно набрать для курса русского языка?,"Точный ответ не найден. Возможно, вас интересует: Инструкция по настройке датчика температуры ДТ-42. 1. Убедитесь, что питание отключено. 2. Подключите датчик к контроллеру через разъем X7. 3. Установите переключатель S1 в положение ""A"". 4. Включите питание и дождитесь зеленого индикатора. 5. Если индикатор красный - проверьте полярность подключения....",test_doc.txt,0.06946511566638947,2026-05-22 16:31:12,2026-05-22 16:31:16
43,Какой минимальный балл нужно набрать для вступительных испытаний творческой и (или) профессиональной направленности?,20.,Balli po vstupitelnim ispitaniyam.txt,0.30053240060806274,2026-05-22 16:30:01,2026-05-22 16:30:11
42,Какой минимальный балл нужно набрать для поступления на курс математики профильного уровня?,20,Balli po vstupitelnim ispitaniyam.txt,0.30694735050201416,2026-05-22 16:28:55,2026-05-22 16:29:22
40,Какой минимальный балл нужно набрать для поступления на курс биологии?,"Точный ответ не найден. Возможно, вас интересует: Баллы по вступительным испытаниям для поступления на бюджетные места и места с оплатой стоимости обучения (2026 год)

Биология - Минимальный балл: 40. Максимальный балл: 100
География - Минимальный балл: 40. Максимальный балл: 100
Иностранный язык - Минимальный балл: 40. Максимальный балл: 100
Информатика - Минимальный балл: 46. Максимальный балл: 100
История - Минимальный балл: 40. Максимальный балл: 100
Литература - Минимальный балл: 40....",Balli po vstupitelnim ispitaniyam.txt,0.09428133815526962,2026-05-22 16:27:22,2026-05-22 16:27:37
39,Как калибровать весы ВС-200?,самостоятельно,Balli po vstupitelnim ispitaniyam.txt,0.716864824295044,2026-05-22 16:25:15,2026-05-22 16:25:20
37,Как настроить датчик температуры?,самостоятельно,Balli po vstupitelnim ispitaniyam.txt,0.8605206608772278,2026-05-22 16:23:32,2026-05-22 16:23:55
35,Как настроить датчик температуры?,самостоятельно,Balli po vstupitelnim ispitaniyam.txt,0.8605206608772278,2026-05-22 16:04:05,2026-05-22 16:15:10
30,Как настроить датчик температуры?,проверьте показания на трёх разных точках диапазона.,another_doc.txt,0.18667106330394745,2026-05-22 13:22:17,2026-05-22 13:22:26
27,Как калибровать весы ВС-200?,"Руководство по калибровке весов ВС-200. Перед калибровкой убедитесь, что весы установлены на ровной горизонтальной поверхности. Используйте эталонные гири класса F2. Процесс калибровки занимает 5-7 минут. После калибровки проверьте показания на трёх разных точках диапазона.",another_doc.txt,0.2181568443775177,2026-05-22 13:03:25,2026-05-22 13:03:43
25,Как настроить датчик температуры?,"Руководство по калибровке весов ВС-200. Перед калибровкой убедитесь, что весы установлены на ровной горизонтальной поверхности. Используйте эталонные гири класса F2. Процесс калибровки занимает 5-7 минут. После калибровки проверьте показания на трёх разных точках диапазона.",another_doc.txt,0.18667106330394745,2026-05-22 13:01:35,2026-05-22 13:01:55
24,Какие гири использовать для калибровки?,"Руководство по калибровке весов ВС-200. Перед калибровкой убедитесь, что весы установлены на ровной горизонтальной поверхности. Используйте эталонные гири класса F2. Процесс калибровки занимает 5-7 минут. После калибровки проверьте показания на трёх разных точках диапазона.",another_doc.txt,0.4019673764705658,2026-05-22 11:48:55,2026-05-22 11:48:58
23,Для чего нужен разъем X7?,"Инструкция по настройке датчика температуры ДТ-42. 1. Убедитесь, что питание отключено. 2. Подключите датчик к контроллеру через разъем X7. 3. Установите переключатель S1 в положение ""A"". 4. Включите питание и дождитесь зеленого индикатора. 5. Если индикатор красный - проверьте полярность подключения.",test_doc.txt,0.8826531767845154,2026-05-22 11:48:19,2026-05-22 11:48:22
22,Как калибровать весы ВС-200?,"Инструкция по настройке датчика температуры ДТ-42. 1. Убедитесь, что питание отключено. 2. Подключите датчик к контроллеру через разъем X7. 3. Установите переключатель S1 в положение ""A"". 4. Включите питание и дождитесь зеленого индикатора. 5. Если индикатор красный - проверьте полярность подключения.",test_doc.txt,0.10469533503055573,2026-05-22 11:04:27,2026-05-22 11:04:31
21,Какие гири нужно использовать для калибровки весов?,"Руководство по калибровке весов ВС-200. Перед калибровкой убедитесь, что весы установлены на ровной горизонтальной поверхности. Используйте эталонные гири класса F2. Процесс калибровки занимает 5-7 минут. После калибровки проверьте показания на трёх разных точках диапазона.",another_doc.txt,0.3863603472709656,2026-05-22 11:03:38,2026-05-22 11:03:43
20,Что нужно сделать перед калибровкой весов?,"Руководство по калибровке весов ВС-200. Перед калибровкой убедитесь, что весы установлены на ровной горизонтальной поверхности. Используйте эталонные гири класса F2. Процесс калибровки занимает 5-7 минут. После калибровки проверьте показания на трёх разных точках диапазона.",another_doc.txt,0.5717960000038147,2026-05-22 11:03:13,2026-05-22 11:03:17
19,Сколько времени занимает процесс калибровки?,"Руководство по калибровке весов ВС-200. Перед калибровкой убедитесь, что весы установлены на ровной горизонтальной поверхности. Используйте эталонные гири класса F2. Процесс калибровки занимает 5-7 минут. После калибровки проверьте показания на трёх разных точках диапазона.",another_doc.txt,0.8496400713920593,2026-05-22 11:02:13,2026-05-22 11:02:47
18,Как провести калибровку весов?,"Инструкция по настройке датчика температуры ДТ-42. 1. Убедитесь, что питание отключено. 2. Подключите датчик к контроллеру через разъем X7. 3. Установите переключатель S1 в положение ""A"". 4. Включите питание и дождитесь зеленого индикатора. 5. Если индикатор красный - проверьте полярность подключения.",test_doc.txt,0.17875665426254272,2026-05-22 11:01:26,2026-05-22 11:01:41
17,"Что делать, если индикатор датчика красный?","Инструкция по настройке датчика температуры ДТ-42. 1. Убедитесь, что питание отключено. 2. Подключите датчик к контроллеру через разъем X7. 3. Установите переключатель S1 в положение ""A"". 4. Включите питание и дождитесь зеленого индикатора. 5. Если индикатор красный - проверьте полярность подключения.",test_doc.txt,0.9160479307174683,2026-05-22 10:46:36,2026-05-22 10:46:43
17,"Что делать, если индикатор датчика красный?","Инструкция по настройке датчика температуры ДТ-42. 1. Убедитесь, что питание отключено. 2. Подключите датчик к контроллеру через разъем X7. 3. Установите переключатель S1 в положение ""A"". 4. Включите питание и дождитесь зеленого индикатора. 5. Если индикатор красный - проверьте полярность подключения.",test_doc.txt,0.9160479307174683,2026-05-22 10:46:36,2026-05-22 11:00:32
16,Куда нужно подключить датчик температуры после отключения питания?,"Инструкция по настройке датчика температуры ДТ-42. 1. Убедитесь, что питание отключено. 2. Подключите датчик к контроллеру через разъем X7. 3. Установите переключатель S1 в положение ""A"". 4. Включите питание и дождитесь зеленого индикатора. 5. Если индикатор красный - проверьте полярность подключения.",test_doc.txt,0.6323310136795044,2026-05-22 10:46:04,2026-05-22 10:46:06
15,"При настройке датчика температуры, в какое положение нужно установить переключатель S1?","Инструкция по настройке датчика температуры ДТ-42. 1. Убедитесь, что питание отключено. 2. Подключите датчик к контроллеру через разъем X7. 3. Установите переключатель S1 в положение ""A"". 4. Включите питание и дождитесь зеленого индикатора. 5. Если индикатор красный - проверьте полярность подключения.",test_doc.txt,0.6320424675941467,2026-05-22 10:35:48,2026-05-22 10:35:57
12,Для чего нужен разъем X7?,"Инструкция по настройке датчика температуры ДТ-42. 1. Убедитесь, что питание отключено. 2. Подключите датчик к контроллеру через разъем X7. 3. Установите переключатель S1 в положение ""A"". 4. Включите питание и дождитесь зеленого индикатора. 5. Если индикатор красный - проверьте полярность подключения.",test_doc.txt,0.8868144685402513,2026-05-21 10:37:15,2026-05-21 10:37:17
